"","open","high","low","close","volume","adjusted"
"2018-01-02",173.729996,174.479996,172.660004,173.220001,3696900,171.044525
"2018-01-03",173.229996,173.639999,172,172.490005,3789600,170.3237
"2018-01-04",173.240005,174.130005,172.729996,173.699997,2756400,171.518494
"2018-01-05",174,175,173.399994,174.050003,3737700,171.864105
"2018-01-08",173.740005,174.210007,172.929993,173.929993,2060800,171.745605
"2018-01-09",174.229996,174.229996,173.009995,173.539993,2674300,171.360504
"2018-01-10",173.5,174,172.470001,173.509995,2172500,171.330887
"2018-01-11",173.559998,174.550003,172.100006,173.389999,3078000,171.212387
"2018-01-12",173.360001,173.789993,172.880005,173.570007,2901600,171.390137
"2018-01-16",173.619995,174.410004,172.880005,173.679993,3662600,171.498749
"2018-01-17",174.350006,175.690002,173.880005,174.979996,4124800,172.782425
"2018-01-18",175.190002,175.449997,173.899994,174.570007,2154800,172.377579
"2018-01-19",174.990005,176.639999,174.380005,176.119995,3746300,173.908096
"2018-01-22",175.970001,176.830002,175.610001,176.210007,3217900,173.996979
"2018-01-23",175.570007,177.75,174.850006,176.809998,3197600,174.589432
"2018-01-24",177.300003,177.300003,175.25,176.119995,2810800,173.908096
"2018-01-25",176.399994,176.619995,174.660004,175.660004,2815800,173.453888
"2018-01-26",175.669998,178.399994,175.009995,178.360001,3957700,176.119965
"2018-01-29",178.300003,178.699997,177.240005,177.770004,6091900,175.537384
"2018-01-30",177.100006,177.669998,170.850006,172.479996,9613000,170.313812
"2018-01-31",173.600006,174.300003,170.270004,171.139999,7004200,168.990646
"2018-02-01",170.270004,173.539993,168.889999,171.899994,4751300,169.741104
"2018-02-02",170.800003,172.729996,168.990005,169.380005,4604500,167.252762
"2018-02-05",168.610001,169.460007,153.860001,163.850006,7309300,161.792206
"2018-02-06",158.350006,166.050003,158.25,165.179993,7020000,163.105484
"2018-02-07",164.860001,168.259995,164.520004,165.710007,4974000,163.628845
"2018-02-08",165.690002,165.729996,158.759995,158.970001,5656000,156.973495
"2018-02-09",159.979996,161.979996,155.229996,160.800003,7187100,158.780518
"2018-02-12",162.369995,165.889999,161.5,163.899994,5255900,161.841568
"2018-02-13",163,163.830002,161.720001,162.399994,5406000,160.360413
"2018-02-14",161.440002,162.020004,159.679993,159.990005,5865600,157.980698
"2018-02-15",161.139999,161.520004,158.809998,160.779999,5012100,158.760757
"2018-02-16",159.470001,159.899994,157.759995,157.789993,7165800,155.808304
"2018-02-20",157,159.160004,156.279999,157.160004,5211100,155.186234
"2018-02-21",157.759995,161.320007,157.600006,158.639999,7833400,156.647644
"2018-02-22",158.949997,161.399994,158.899994,160.660004,4398200,158.642273
"2018-02-23",161.440002,163.309998,161.440002,163.059998,4272400,161.012131
"2018-02-26",164,164.75,162.300003,163.580002,4525200,161.525604
"2018-02-27",164.190002,164.5,160.639999,160.660004,4907500,158.642273
"2018-02-28",160.429993,161.210007,157.720001,157.740005,6116800,156.744324
"2018-03-01",157.800003,160.429993,155.210007,155.699997,5609000,154.717194
"2018-03-02",148.910004,150.449997,146.839996,148.270004,11754300,147.334106
"2018-03-05",148.279999,151.479996,147.919998,151.029999,6397800,150.076675
"2018-03-06",151.25,151.710007,150.130005,151.199997,5015400,150.245605
"2018-03-07",149.860001,152.740005,149.679993,152.380005,4492000,151.418167
"2018-03-08",152.729996,154.610001,152.649994,154.440002,4291400,153.465164
"2018-03-09",155.619995,157.729996,154.839996,157.240005,5076500,156.247482
"2018-03-12",157.740005,159.449997,157.509995,157.740005,4461500,156.744324
"2018-03-13",158.559998,159.889999,158.210007,158.220001,4333100,157.221298
"2018-03-14",159,159.509995,157.240005,158.240005,3879000,157.24118
"2018-03-15",158.710007,162.149994,158.589996,161.610001,5925700,160.58989
"2018-03-16",161.880005,163.229996,161.580002,162.360001,14293800,161.335159
"2018-03-19",162,162.360001,158.210007,159.009995,4307600,158.006302
"2018-03-20",159.75,160.669998,159.25,159.380005,3105100,158.373978
"2018-03-21",160,160.410004,158.289993,158.660004,3871900,157.658524
"2018-03-22",157.850006,159.119995,156.850006,157.039993,3669400,156.048737
"2018-03-23",157.589996,157.779999,154.919998,154.979996,3447400,154.00174
"2018-03-26",156.210007,158.199997,156.210007,158.009995,3477000,157.012619
"2018-03-27",158.5,159.770004,156.470001,157.479996,3519100,156.485962
"2018-03-28",157.839996,159.759995,157.820007,158.410004,3913200,157.410095
"2018-03-29",159,159.830002,156.380005,156.380005,5289500,155.392914
"2018-04-02",158.270004,160.160004,155.25,157.720001,6960100,156.724457
"2018-04-03",157.979996,160.529999,157.300003,160.399994,4719400,159.387527
"2018-04-04",158.5,162.149994,157.880005,161.729996,4888000,160.709137
"2018-04-05",162.399994,164.559998,161.75,163.949997,4503900,162.915115
"2018-04-06",162.419998,163.779999,160.910004,161.25,4321900,160.232162
"2018-04-09",162.220001,163.570007,161.059998,161.229996,3581500,160.212296
"2018-04-10",162.830002,163.960007,162.050003,162.770004,3902600,161.742584
"2018-04-11",162.5,164.059998,162.279999,163.339996,2711100,162.308975
"2018-04-12",163.589996,165.399994,161.539993,161.619995,5178900,160.599823
"2018-04-13",162.160004,163.160004,161.259995,161.729996,2452800,160.709137
"2018-04-16",161.300003,162.440002,160.860001,161.630005,3115200,160.609772
"2018-04-17",162.389999,163.479996,162.059998,162.550003,2861900,161.523972
"2018-04-18",162.589996,163.309998,161.740005,161.809998,2503100,160.788635
"2018-04-19",161.610001,162.100006,158.779999,159.529999,3276600,158.523026
"2018-04-20",159.330002,160.729996,158.509995,158.770004,3961200,157.767822
"2018-04-23",158.970001,159.690002,158.149994,158.990005,3051900,157.986435
"2018-04-24",159.75,159.830002,156.759995,157.320007,2904400,156.326981
"2018-04-25",157.089996,157.339996,155.009995,155.940002,3710200,154.955688
"2018-04-26",156.460007,159.460007,155.649994,158.899994,3680600,157.897003
"2018-04-27",159.479996,159.850006,158.210007,158.300003,4141500,157.300797
"2018-04-30",164.690002,167.949997,163.75,167.440002,12954700,166.383102
"2018-05-01",166.380005,166.5,162.100006,163.440002,6560100,162.40834
"2018-05-02",162.149994,163.199997,160.440002,160.679993,4318400,159.665756
"2018-05-03",160.600006,160.839996,159.080002,160.080002,3450100,159.06955
"2018-05-04",159.949997,165.449997,159.899994,165.029999,4283600,163.988312
"2018-05-07",166.770004,167.300003,164.649994,165,3379000,163.958496
"2018-05-08",164.440002,165.589996,163.75,164.770004,2808100,163.72995
"2018-05-09",165,165.210007,163.050003,164.240005,2762500,163.203308
"2018-05-10",164.449997,165.639999,164.309998,165.070007,1675100,164.028061
"2018-05-11",165,165.979996,164.850006,165.389999,2258500,164.346039
"2018-05-14",165.649994,165.979996,164.320007,164.720001,2537300,163.680267
"2018-05-15",164.270004,164.649994,162.330002,163.059998,3471300,162.030746
"2018-05-16",163.240005,163.940002,161.740005,162.869995,2522000,161.841934
"2018-05-17",162.630005,163.229996,160.729996,161.309998,2975500,160.291794
"2018-05-18",161.679993,162.839996,160.550003,160.979996,2318000,159.963867
"2018-05-21",161.779999,161.970001,160.610001,161.479996,2424000,160.460709
"2018-05-22",162.059998,162.089996,159.160004,159.449997,3224000,158.443527
"2018-05-23",159.699997,161.649994,159.160004,161.619995,3828800,160.599823
"2018-05-24",161.110001,162.600006,160.440002,162.389999,3374200,161.364975
"2018-05-25",162.440002,163.949997,162.100006,163.210007,2582100,162.17981
"2018-05-29",162.429993,162.720001,160.210007,160.619995,3179600,159.60614
"2018-05-30",161.410004,162.100006,160.820007,161.820007,2396500,160.798584
"2018-05-31",161.179993,161.630005,159.940002,160.009995,4881100,158.999985
"2018-06-01",159.899994,160.050003,159.020004,159.160004,3109200,159.160004
"2018-06-04",160.080002,160.490005,159.539993,160.220001,3168200,160.220001
"2018-06-05",159.970001,160.990005,158.979996,159.479996,2952300,159.479996
"2018-06-06",159.789993,162.389999,159.330002,162.380005,3586200,162.380005
"2018-06-07",163.75,170,163.690002,169.479996,8342500,169.479996
"2018-06-08",169.020004,171.559998,168.460007,168.910004,5056600,168.910004
"2018-06-11",169.039993,169.039993,166.259995,166.490005,3246500,166.490005
"2018-06-12",166.820007,167.240005,166.229996,166.729996,2985300,166.729996
"2018-06-13",166.990005,167.610001,166.550003,166.580002,3140500,166.580002
"2018-06-14",167.039993,167.940002,166.679993,167.050003,2390000,167.050003
"2018-06-15",166.100006,166.600006,164.589996,166.460007,7384400,166.460007
"2018-06-18",165.529999,166.580002,163.809998,166.279999,4297700,166.279999
"2018-06-19",164.619995,165.509995,164.240005,164.970001,3350400,164.970001
"2018-06-20",164.910004,165.529999,162.369995,162.559998,3649500,162.559998
"2018-06-21",163.289993,163.600006,159.539993,160.529999,4655800,160.529999
"2018-06-22",161.270004,165.139999,161.259995,164.550003,8703600,164.550003
"2018-06-25",163,163,158.949997,159.809998,6126800,159.809998
"2018-06-26",160.009995,161.850006,159.800003,160.910004,3375100,160.910004
"2018-06-27",159.050003,160.490005,157.380005,157.419998,4962100,157.419998
"2018-06-28",157.25,157.330002,155.100006,156.320007,4136500,156.320007
