"","open","high","low","close","volume","adjusted"
"X2018.01.02",27.540001,28.309999,27.52,28.299999,11693300,28.030863
"X2018.01.03",28.190001,28.469999,27.690001,27.85,10788400,27.585142
"X2018.01.04",28.02,28.059999,26.540001,26.98,12357600,26.723415
"X2018.01.05",27.290001,27.57,26.889999,27.32,9629900,27.060183
"X2018.01.08",27.379999,28.120001,27.32,27.969999,12321700,27.704
"X2018.01.09",28,28.16,27.76,27.77,8186200,27.505905
"X2018.01.10",27.450001,28.049999,26.879999,27.99,7565500,27.723812
"X2018.01.11",28,28.110001,27.559999,28.08,9372300,27.812956
"X2018.01.12",28.15,28.77,28.01,28.139999,10081700,27.872385
"X2018.01.16",28.35,28.469999,28,28.25,8208800,27.981339
"X2018.01.17",28.42,28.9,28.360001,28.67,7571200,28.397345
"X2018.01.18",28.76,29.360001,28.700001,29.059999,10559600,28.783636
"X2018.01.19",29.16,29.82,28.92,29.719999,9521500,29.437357
"X2018.01.22",29.65,29.719999,29.16,29.629999,9716100,29.348215
"X2018.01.23",29.620001,29.629999,29.02,29.309999,10590200,29.031258
"X2018.01.24",29.450001,29.870001,29.15,29.48,12846500,29.199642
"X2018.01.25",30.35,30.459999,29.709999,30.26,16529200,29.972223
"X2018.01.26",30.26,30.889999,30.049999,30.879999,11681000,30.586325
"X2018.01.29",30.639999,31.41,30.540001,31.34,13224300,31.041952
"X2018.01.30",31,31.450001,30.73,30.83,11304000,30.536802
"X2018.01.31",30.84,31.09,30.209999,30.360001,11507800,30.071272
"X2018.02.01",30.209999,30.700001,30.08,30.209999,5467000,29.922697
"X2018.02.02",30.01,30.129999,29.309999,29.34,7695900,29.060972
"X2018.02.05",28.98,29.540001,28.25,28.469999,14262000,28.199247
"X2018.02.06",27.92,29.219999,27.18,29.07,12043300,28.793539
"X2018.02.07",29.049999,29.459999,28.84,28.9,7550500,28.625158
"X2018.02.08",28.799999,28.9,27.52,27.57,12340300,27.307804
"X2018.02.09",27.82,28.040001,26.629999,27.66,10525000,27.39695
"X2018.02.12",27.870001,27.879999,27.02,27.200001,10827100,26.941324
"X2018.02.13",27.17,28.209999,27.139999,28.120001,7825300,27.852575
"X2018.02.14",27.85,28.67,27.77,28.4,8715600,28.255514
"X2018.02.15",28.620001,28.93,28.33,28.790001,6133500,28.643532
"X2018.02.16",28.639999,29.08,28.57,28.690001,5985800,28.544041
"X2018.02.20",27.809999,28.1,27.219999,27.49,12438700,27.350145
"X2018.02.21",27.67,28.030001,27.280001,27.41,9845900,27.270552
"X2018.02.22",27.639999,27.66,26.91,27.219999,10634800,27.081518
"X2018.02.23",27.360001,27.530001,27.18,27.42,5760300,27.2805
"X2018.02.26",27.5,28.02,27.4,27.85,7044200,27.708313
"X2018.02.27",27.9,28.1,27.27,27.27,6759700,27.131264
"X2018.02.28",27.49,27.620001,27.120001,27.120001,8335900,26.982027
"X2018.03.01",27.290001,27.85,27.1,27.459999,8548000,27.320297
"X2018.03.02",27.24,27.620001,26.959999,27.35,8605000,27.210857
"X2018.03.05",27.290001,28.01,27.27,27.99,9747300,27.847601
"X2018.03.06",27.879999,28.290001,27.790001,28.01,8670000,27.8675
"X2018.03.07",27.67,27.690001,26.02,26.23,22122600,26.096554
"X2018.03.08",24.5,24.82,22.85,22.98,61491700,22.863089
"X2018.03.09",23.1,24.1,22.879999,24.08,22793200,23.957493
"X2018.03.12",23.780001,24.16,23.4,23.99,18464700,23.86795
"X2018.03.13",24.030001,24.389999,23.92,24.01,11049400,23.88785
"X2018.03.14",23.99,23.99,23.41,23.440001,13766100,23.320749
"X2018.03.15",23.610001,23.959999,23.51,23.629999,8447300,23.509781
"X2018.03.16",23.68,23.940001,23.450001,23.690001,13578000,23.569477
"X2018.03.19",23.58,23.98,23.110001,23.16,10450200,23.042173
"X2018.03.20",23.299999,23.52,23.139999,23.41,6614100,23.290901
"X2018.03.21",23.379999,23.799999,23.370001,23.450001,6083900,23.3307
"X2018.03.22",23.299999,23.540001,23.049999,23.389999,11612100,23.271004
"X2018.03.23",24.27,24.309999,23.24,23.280001,17847400,23.161564
"X2018.03.26",23.48,23.91,23.26,23.870001,8625100,23.748562
"X2018.03.27",23.950001,24.139999,23.43,23.469999,6867300,23.350595
"X2018.03.28",23.469999,24.049999,23.469999,23.620001,8651700,23.499834
"X2018.03.29",23.790001,24.040001,23.73,23.940001,6646500,23.818207
"X2018.04.02",23.92,23.950001,23.15,23.280001,8243200,23.161564
"X2018.04.03",23.389999,23.790001,23.26,23.59,7060400,23.469986
"X2018.04.04",23.219999,24.23,23.15,24.08,8734500,23.957493
"X2018.04.05",24.17,24.26,23.76,23.809999,7115400,23.688866
"X2018.04.06",23.67,24.129999,23.66,23.77,8798000,23.649071
"X2018.04.09",23.83,23.9,23.540001,23.540001,8042400,23.42024
"X2018.04.10",23.6,23.719999,23.370001,23.459999,8627000,23.340647
"X2018.04.11",23.35,23.74,23.24,23.48,8517400,23.360546
"X2018.04.12",23.559999,23.83,23.469999,23.6,7759900,23.479935
"X2018.04.13",23.75,23.860001,23.48,23.73,5331600,23.609274
"X2018.04.16",23.93,24.42,23.83,24.17,5973200,24.047035
"X2018.04.17",24.290001,24.469999,24.18,24.23,5441800,24.10673
"X2018.04.18",24.59,25.07,24.52,24.58,8430500,24.454948
"X2018.04.19",24.35,24.540001,24.120001,24.18,7829000,24.056984
"X2018.04.20",24.59,25.42,23.99,24.120001,16221100,23.99729
"X2018.04.23",24.26,24.870001,24.030001,24.790001,11579400,24.663881
"X2018.04.24",24.82,25.610001,24.82,25.379999,13808400,25.250879
"X2018.04.24.1",24.82,25.610001,24.82,25.379999,13809934,25.250879
