"","open","high","low","close","volume","adjusted"
"2018-01-02",153.039993,154.559998,152.539993,154.559998,264500,153.759659
"2018-01-03",154.929993,156.589996,154.529999,155.740005,243900,154.933548
"2018-01-04",156.279999,157.220001,153.589996,153.759995,371300,152.963791
"2018-01-05",154.460007,156.929993,154.320007,156.869995,259900,156.057693
"2018-01-08",156.839996,156.839996,155.449997,155.830002,208000,155.023087
"2018-01-09",155.929993,156.490005,154.139999,154.259995,214200,153.461197
"2018-01-10",154.300003,154.75,152.289993,153.779999,264600,152.983688
"2018-01-11",154.5,154.5,152.830002,153.529999,388800,152.734985
"2018-01-12",154.169998,154.199997,152.220001,153.699997,366700,152.904099
"2018-01-16",154.699997,155.440002,152.110001,152.539993,252000,151.750107
"2018-01-17",155.529999,157.399994,154.929993,156.550003,789000,155.739349
"2018-01-18",156.240005,156.880005,153.169998,155.130005,357400,154.326706
"2018-01-19",155.830002,155.830002,154.490005,155.190002,398300,154.386398
"2018-01-22",154.820007,154.820007,152.699997,153.059998,443600,152.267426
"2018-01-23",153,153.369995,151.309998,153.009995,322000,152.217682
"2018-01-24",153.020004,153.75,151.889999,152.860001,291500,152.068466
"2018-01-25",153.610001,155.130005,153.080002,154.850006,461200,154.048157
"2018-01-26",155.270004,155.270004,153.229996,153.490005,433800,152.695206
"2018-01-29",153.399994,153.889999,150.880005,150.899994,338300,150.118607
"2018-01-30",150.229996,150.889999,148.580002,149.910004,428100,149.133743
"2018-01-31",150.240005,151.240005,149,150.300003,445500,149.521713
"2018-02-01",149.479996,150.479996,146.919998,147.990005,542900,147.223679
"2018-02-02",146.940002,147.809998,146.070007,146.130005,382200,145.373306
"2018-02-05",145.350006,146.860001,140.940002,140.960007,420700,140.230087
"2018-02-06",139.289993,142.529999,137.850006,142.410004,578500,141.672577
"2018-02-07",141.970001,144.860001,141.419998,142.699997,352200,141.96106
"2018-02-08",142.130005,142.660004,137.929993,138,369500,137.2854
"2018-02-09",139.360001,141.270004,136.850006,140.399994,407500,139.672974
"2018-02-12",141.039993,143.25,140.550003,142.419998,271000,141.68251
"2018-02-13",141.630005,143.389999,140.220001,143.059998,425200,142.319199
"2018-02-14",141.940002,145.119995,141.080002,144.850006,680000,144.099945
"2018-02-15",138.929993,145.089996,135.080002,144.020004,761300,143.274231
"2018-02-16",143.580002,144.589996,141.429993,141.830002,447200,141.095581
"2018-02-20",141.360001,144.029999,141.100006,142.380005,436800,141.642731
"2018-02-21",142.570007,143.410004,141.429993,141.440002,492200,140.707596
"2018-02-22",142.229996,143.970001,141.850006,142.660004,545800,141.92128
"2018-02-23",143.669998,145.889999,142.470001,145.820007,323700,145.064926
"2018-02-26",145.759995,145.979996,143.880005,145.429993,232500,144.676926
"2018-02-27",145.75,145.899994,142.580002,142.580002,315400,141.84169
"2018-02-28",142.679993,143.619995,141.190002,141.25,388100,140.51857
"2018-03-01",141.410004,141.770004,138.029999,138.380005,380200,137.663437
"2018-03-02",137.860001,138.529999,136.860001,137.839996,636400,137.126236
"2018-03-05",137.339996,139.270004,137.050003,138.570007,943900,137.852463
"2018-03-06",139.479996,140.270004,138.850006,139.630005,928800,138.906967
"2018-03-07",138.570007,140.130005,137.990005,139.320007,527400,138.598572
"2018-03-08",139.850006,140.029999,137.929993,139,704500,138.280228
"2018-03-09",139.970001,141.240005,139.399994,141.009995,607800,140.279816
"2018-03-12",141.029999,142.809998,141.029999,142.050003,819200,141.314438
"2018-03-13",143.009995,143.470001,140.800003,141.289993,258000,140.558365
"2018-03-14",141.669998,141.690002,139.089996,139.289993,338000,138.568726
"2018-03-15",139.169998,140.059998,138.830002,139.029999,349500,138.310074
"2018-03-16",137.630005,139.089996,136.410004,138.740005,837200,138.021576
"2018-03-19",138.009995,139.199997,137.059998,137.839996,357900,137.126236
"2018-03-20",138.009995,138.009995,135.25,135.619995,486100,134.917725
"2018-03-21",135.860001,137.5,135.369995,136.080002,394900,135.375351
"2018-03-22",135.460007,135.860001,133.220001,133.25,417200,132.559998
"2018-03-23",133,135.119995,132.490005,132.600006,548200,132.600006
"2018-03-26",133.610001,136.139999,133.610001,135.809998,415100,135.809998
"2018-03-27",135.889999,137.990005,135.050003,135.399994,386400,135.399994
"2018-03-28",135.710007,136.740005,134.869995,135.059998,302400,135.059998
"2018-03-29",135.729996,137.889999,135.229996,136.910004,286100,136.910004
"2018-04-02",136.830002,136.949997,133.149994,134.100006,398700,134.100006
"2018-04-03",134.330002,135.880005,133.669998,135.339996,359800,135.339996
"2018-04-04",134.199997,137.149994,133.619995,137.020004,258800,137.020004
"2018-04-05",137.740005,138.919998,137.229996,138.279999,256900,138.279999
"2018-04-06",137.350006,138.270004,134.529999,135.330002,274100,135.330002
"2018-04-09",135.910004,137.389999,134.919998,135.869995,314600,135.869995
"2018-04-10",136.860001,138.169998,135.440002,137.029999,297400,137.029999
"2018-04-11",136.110001,137,135.580002,136.460007,306600,136.460007
"2018-04-12",137.009995,137.699997,136.559998,137.339996,792000,137.339996
"2018-04-13",137.860001,138.210007,136.839996,137.679993,562800,137.679993
"2018-04-16",138.559998,140.529999,137.740005,140.460007,346500,140.460007
"2018-04-17",141.119995,142.289993,140.830002,142.080002,405300,142.080002
"2018-04-18",142.279999,143.479996,141.800003,143.039993,470300,143.039993
"2018-04-19",142.449997,142.960007,140.240005,141.630005,442700,141.630005
"2018-04-20",141.990005,142.460007,140.130005,141.600006,951800,141.600006
"2018-04-23",141.509995,141.919998,140.300003,141.009995,385700,141.009995
"2018-04-24",141.309998,141.419998,137.800003,138.330002,358500,138.330002
"2018-07-03",124.089996,124.529999,122.720001,122.949997,285476,122.949997
