"","open","high","low","close","volume","adjusted"
"2018-01-02",60.080002,60.490002,59.709999,59.759998,1905400,58.824394
"2018-01-03",59.93,60.220001,59.66,60.119999,1886900,59.178761
"2018-01-04",60.049999,60.049999,58.490002,58.650002,2570700,57.731777
"2018-01-05",58.799999,58.939999,57.900002,58.349998,2454300,57.43647
"2018-01-08",58.349998,58.650002,58.029999,58.450001,1862500,57.534908
"2018-01-09",58.369999,58.380001,57.310001,57.689999,2950300,56.786804
"2018-01-10",57.560001,57.599998,56.700001,56.84,2219900,55.950115
"2018-01-11",56.84,57.130001,56.09,56.23,2550400,55.349663
"2018-01-12",56.16,56.16,54.77,54.830002,4282600,53.971584
"2018-01-16",55.110001,56.139999,54.450001,54.52,3710300,53.666435
"2018-01-17",54.73,55,54.299999,54.98,4505500,54.119232
"2018-01-18",54.779999,54.869999,54.099998,54.380001,3218300,53.528629
"2018-01-19",54.490002,54.52,53.75,54.470001,2612700,53.617218
"2018-01-22",54.459999,54.860001,54.299999,54.490002,2587100,53.636906
"2018-01-23",54.82,55.959999,54.5,55.950001,2761100,55.074047
"2018-01-24",55.919998,56.200001,55.68,55.889999,2839700,55.014984
"2018-01-25",55.860001,56.459999,55.810001,56.41,2990400,55.526844
"2018-01-26",56.709999,56.709999,55.439999,55.889999,2193400,55.014984
"2018-01-29",55.599998,55.68,54.52,55.529999,2062600,54.660622
"2018-01-30",55.82,56.099998,54.650002,54.650002,2145500,53.794403
"2018-01-31",54.799999,55.98,54.610001,55.970001,3898800,55.093735
"2018-02-01",55.93,56.189999,54.240002,54.400002,2715200,53.548317
"2018-02-02",53.91,55,53.52,54.330002,2815300,53.479412
"2018-02-05",54.139999,54.98,52.779999,52.880001,3216200,52.052113
"2018-02-06",52.32,53.360001,51.799999,53.189999,3689500,52.357258
"2018-02-07",53.130001,54.119999,52.82,52.970001,3266400,52.140701
"2018-02-08",52.799999,52.919998,50.919998,50.919998,6466800,50.122795
"2018-02-09",50.049999,52.009998,49.169998,51.59,5891900,50.782307
"2018-02-12",51.650002,51.91,49.470001,50.459999,3986100,49.669998
"2018-02-13",50.380001,50.900002,49.580002,50.720001,3193300,49.92593
"2018-02-14",50.310001,50.439999,49.349998,49.619999,2867200,48.843147
"2018-02-15",49.619999,50.75,49.619999,50.639999,2652300,49.847179
"2018-02-16",50.790001,51.639999,50.709999,51.389999,2454900,50.585438
"2018-02-20",51.110001,51.560001,50.259998,50.27,2281300,49.482975
"2018-02-21",50.290001,50.400002,49.330002,49.34,2288600,48.567532
"2018-02-22",49.580002,50.330002,49.119999,49.669998,1914600,48.892365
"2018-02-23",49.950001,50.52,49.5,50.509998,1954800,49.719215
"2018-02-26",50.669998,50.740002,50.189999,50.73,1975600,49.935772
"2018-02-27",50.73,50.93,48.91,48.91,2664800,48.144264
"2018-02-28",49.18,49.360001,48.299999,48.32,3371900,47.563503
"2018-03-01",48.18,49.720001,47.970001,49.580002,3591100,48.803776
"2018-03-02",49.5,50.09,49.209999,49.860001,3333700,49.079391
"2018-03-05",49.860001,51.290001,49.799999,50.77,3753200,49.975147
"2018-03-06",50.639999,50.790001,49.68,50.450001,2153800,49.660156
"2018-03-07",50.299999,51.240002,49.990002,51.220001,2288400,50.418102
"2018-03-08",50.970001,50.970001,49.98,50.52,4368100,49.729061
"2018-03-09",50.459999,50.610001,49.259998,49.689999,3653000,48.912052
"2018-03-12",49.610001,50.5,49.560001,50.380001,4084400,49.591251
"2018-03-13",50.849998,51.220001,50.009998,50.349998,4131200,49.561718
"2018-03-14",50.310001,50.5,49.02,49.68,4637800,48.90221
"2018-03-15",49.66,49.990002,49.049999,49.459999,3622400,48.685654
"2018-03-16",49.380001,50.27,49.18,50.150002,4100200,49.364853
"2018-03-19",50.080002,50.099998,49.150002,49.529999,2341500,48.754559
"2018-03-20",49.5,50.02,48.84,49,2793400,48.232857
"2018-03-21",48.900002,49.09,48.009998,48.459999,2570400,47.701309
"2018-03-22",48.5,49.990002,48.419998,49.32,4227700,48.547848
"2018-03-23",49.419998,49.459999,47.950001,48.110001,2845700,47.356792
"2018-03-26",48.41,48.459999,47.799999,48.209999,2087600,47.455223
"2018-03-27",48.279999,49.630001,47.82,49.009998,2215700,48.242699
"2018-03-28",49.169998,50.790001,49.139999,50.459999,3420200,49.669998
"2018-03-29",49.700001,49.880001,49.139999,49.529999,2605700,49.529999
"2018-04-02",49.669998,50.310001,49.040001,49.389999,2561600,49.389999
"2018-04-03",49.459999,49.98,48.470001,49.560001,2604700,49.560001
"2018-04-04",49.349998,50.700001,49.119999,50.32,2088800,50.32
"2018-04-05",50.299999,50.369999,49.450001,50.040001,2312700,50.040001
"2018-04-06",50.130001,50.849998,50.040001,50.419998,2514700,50.419998
"2018-04-09",50.529999,50.599998,49.439999,49.810001,1971600,49.810001
"2018-04-10",50.139999,50.139999,49.150002,49.27,2847600,49.27
"2018-04-11",49.25,49.939999,48.939999,49,1890600,49
"2018-04-12",49,49.110001,47.860001,48.349998,2287800,48.349998
"2018-04-13",48.32,48.549999,47.91,48.540001,1565000,48.540001
"2018-04-16",48.630001,48.849998,48.139999,48.68,1798700,48.68
"2018-04-17",48.779999,49.330002,48.5,48.84,1850100,48.84
"2018-04-18",48.950001,49.099998,48.599998,48.610001,1721100,48.610001
"2018-04-19",48.5,48.560001,47.490002,47.799999,2267300,47.799999
"2018-04-20",47.830002,47.880001,46.799999,47.009998,2294400,47.009998
"2018-04-23",47,47.450001,46.709999,46.959999,1868700,46.959999
"2018-04-24",47,47.810001,46.630001,47.369999,2063200,47.369999
"2018-04-25",47.130001,47.419998,46.549999,47.360001,1760200,47.360001
"2018-04-26",47.529999,47.900002,46.889999,47.470001,2564300,47.470001
"2018-04-27",48.810001,52.029999,48.650002,51.59,5732000,51.59
"2018-04-30",52.200001,52.209999,50.860001,51.419998,4147600,51.419998
"2018-05-01",51.5,52.740002,51.139999,52.41,4732500,52.41
"2018-05-02",52.130001,52.439999,50.950001,52.369999,4781700,52.369999
"2018-05-03",52.119999,52.599998,51.82,52.529999,2773800,52.529999
"2018-05-04",52.450001,53.23,52.380001,53.150002,2357700,53.150002
"2018-05-07",53.189999,53.509998,52.709999,53.349998,3005000,53.349998
"2018-05-08",53.360001,53.360001,52.529999,52.84,2359400,52.84
"2018-05-09",52.689999,53.209999,52.540001,53.150002,1945700,53.150002
"2018-05-10",53.549999,53.75,53.169998,53.740002,1700500,53.740002
"2018-05-11",53.860001,54.150002,53.419998,53.509998,1690500,53.509998
"2018-05-14",53.290001,53.470001,52.830002,53.16,2011000,53.16
"2018-05-15",52.889999,52.900002,52.099998,52.259998,3430400,52.259998
"2018-05-16",52.599998,52.91,51.830002,52.040001,2055300,52.040001
"2018-05-17",52.27,52.279999,51.34,51.459999,2218300,51.459999
"2018-05-18",51.540001,51.93,51.23,51.459999,2207200,51.459999
"2018-05-21",51.349998,52.25,50.689999,52.18,1845900,52.18
"2018-05-22",52.299999,52.77,51.720001,52.68,2577300,52.68
"2018-05-23",52.919998,53.799999,52.759998,53.560001,2279000,53.560001
"2018-05-24",53.57,53.790001,52.68,53.09,2113500,53.09
"2018-05-25",53.290001,53.75,53.25,53.619999,1434500,53.619999
"2018-05-29",53.52,54.119999,53.139999,54.099998,2400000,54.099998
"2018-05-30",53.959999,55.02,53.450001,54.810001,2626500,54.810001
"2018-05-31",54.529999,54.919998,54.310001,54.66,4299600,54.66
"2018-06-01",54.669998,55.23,54.470001,54.84,2179000,54.84
"2018-06-04",54.950001,55.299999,54.52,54.990002,1779700,54.990002
"2018-06-05",55.25,55.540001,54.470001,54.5,2341300,54.5
"2018-06-06",54.5,54.779999,54.060001,54.34,1874100,54.34
"2018-06-07",54.400002,54.720001,53.950001,54.560001,1982500,54.560001
"2018-06-08",54.619999,55.029999,54.5,54.84,1262900,54.84
"2018-06-11",54.869999,55.169998,54.59,54.91,1100600,54.91
"2018-06-12",54.790001,55.470001,54.639999,55.18,1478000,55.18
"2018-06-13",55.240002,55.450001,53.419998,53.439999,2267900,53.439999
"2018-06-14",53.639999,54.799999,53.639999,54.41,1934100,54.41
"2018-06-15",54.560001,54.959999,54.139999,54.23,2746400,54.23
"2018-06-18",54.060001,54.48,53.25,53.66,2153400,53.66
"2018-06-19",53.52,54.34,53.509998,53.709999,1930800,53.709999
"2018-06-20",53.630001,54.82,53.549999,54.75,1708700,54.75
"2018-06-21",54.799999,55.299999,54.349998,55.049999,1664900,55.049999
"2018-06-22",55.009998,55.720001,54.799999,55.689999,2504500,55.689999
"2018-06-25",55.66,56.400002,55.290001,56.09,2236100,56.09
"2018-06-26",56.150002,56.23,55.700001,55.77,2029400,55.77
"2018-06-27",55.950001,56.459999,55.5,56.080002,2002700,56.080002
"2018-06-28",56.150002,57.48,56.150002,57.439999,2679500,57.439999
