"","open","high","low","close","volume","adjusted"
"2018-01-02",79.260002,79.519997,78.110001,78.480003,1142300,78.250328
"2018-01-03",78.860001,79.07,78.059998,78.779999,1741700,78.549438
"2018-01-04",79.25,80.129997,79.110001,79.419998,1033100,79.187569
"2018-01-05",79.57,79.989998,79.32,79.940002,1467600,79.706055
"2018-01-08",79.720001,81.239998,79.660004,81.139999,1338700,80.902542
"2018-01-09",81.099998,81.449997,80.080002,80.690002,1349200,80.453857
"2018-01-10",81.629997,81.879997,80.389999,81.489998,1429100,81.251503
"2018-01-11",81.510002,82.410004,81.389999,82.18,1021300,81.939491
"2018-01-12",82.440002,82.57,81.730003,82,616300,81.760017
"2018-01-16",82.190002,82.910004,81.779999,82.220001,1095100,81.979378
"2018-01-17",82.809998,83.160004,82.199997,82.940002,1064000,82.697273
"2018-01-18",83.089996,83.230003,82.589996,82.730003,1000800,82.487885
"2018-01-19",82.900002,83.43,82.809998,83.25,672600,83.006355
"2018-01-22",83.330002,83.839996,83.099998,83.75,1202900,83.504898
"2018-01-23",83.529999,83.949997,82.839996,83.919998,1402900,83.6744
"2018-01-24",85.379997,87.959999,85.379997,87.279999,3102500,87.024567
"2018-01-25",87.650002,89.029999,86.449997,88.279999,1969600,88.021645
"2018-01-26",88.760002,89.260002,88.089996,88.940002,1292100,88.67971
"2018-01-29",88.870003,89.139999,87.300003,87.43,1812500,87.174133
"2018-01-30",86.980003,88.489998,86.120003,87.68,1973400,87.423393
"2018-01-31",88.129997,89.919998,87.980003,88.860001,1642400,88.599945
"2018-02-01",88.279999,89.050003,88.169998,88.419998,1302200,88.161224
"2018-02-02",87.860001,89.050003,86.699997,86.830002,2023800,86.575882
"2018-02-05",86.510002,87.410004,84.209999,84.239998,2164600,83.993462
"2018-02-06",83.489998,85.43,82.150002,85.120003,2141300,84.870895
"2018-02-07",85.080002,86.699997,84.879997,85.370003,1505300,85.120155
"2018-02-08",85.540001,85.629997,81.139999,81.169998,2087400,80.932449
"2018-02-09",81.599998,83.849998,80.330002,83.349998,1916700,83.106071
"2018-02-12",83.980003,84.510002,83.230003,84.040001,1637600,83.794052
"2018-02-13",83.540001,85.120003,83.540001,84.980003,1228300,84.7313
"2018-02-14",84.550003,84.900002,84.059998,84.620003,1423200,84.372353
"2018-02-15",85.330002,86.489998,84.199997,86.25,1037400,85.997581
"2018-02-16",86.209999,87.669998,85.589996,87.080002,1403600,86.825157
"2018-02-20",86.809998,87.760002,86.650002,87.010002,795400,86.755356
"2018-02-21",86.889999,88.089996,86.540001,86.559998,753400,86.306671
"2018-02-22",87.050003,88.080002,86.519997,86.800003,886800,86.545975
"2018-02-23",87.480003,88.900002,86.82,88.82,1512800,88.560066
"2018-02-26",89.150002,89.510002,88.279999,88.849998,839900,88.589973
"2018-02-27",88.709999,89.139999,87.779999,87.989998,1225200,87.732491
"2018-02-28",88.18,89.620003,87.949997,87.949997,1306700,87.692604
"2018-03-01",87.769997,88.529999,86.550003,87.220001,1057700,86.964745
"2018-03-02",86.370003,87.769997,86.110001,87.57,1202700,87.313721
"2018-03-05",87.230003,88.699997,86.940002,88.470001,1239200,88.21109
"2018-03-06",89.029999,89.720001,88.279999,88.910004,1225900,88.649803
"2018-03-07",88.019997,89.489998,88.019997,89.389999,916400,89.128395
"2018-03-08",89.559998,89.849998,88.510002,89.220001,816700,88.958893
"2018-03-09",89.779999,90.739998,89.699997,90.739998,1162500,90.474434
"2018-03-12",90.690002,90.739998,89.779999,89.949997,1323300,89.686752
"2018-03-13",90.480003,90.639999,89.32,89.510002,1001400,89.248039
"2018-03-14",90.150002,90.150002,88.599998,89.860001,1608800,89.597015
"2018-03-15",90.029999,90.080002,89.25,89.760002,948200,89.497314
"2018-03-16",90,90.610001,89.510002,89.970001,1615100,89.706696
"2018-03-19",89.709999,89.970001,88.419998,89.18,805600,88.919014
"2018-03-20",89.349998,90.160004,89.269997,89.93,933200,89.666817
"2018-03-21",90.019997,90.290001,89.150002,89.169998,791800,89.037743
"2018-03-22",88.470001,88.900002,87.160004,87.220001,1159100,87.090645
"2018-03-23",87.300003,87.480003,85.260002,85.379997,880900,85.253365
"2018-03-26",86.709999,87.68,85.879997,87.610001,1566100,87.480064
"2018-03-27",88.059998,88.379997,84.959999,85.589996,1182900,85.463051
"2018-03-28",85.730003,86.199997,84.290001,84.849998,1185100,84.724152
"2018-03-29",85.440002,86.839996,84.279999,86.260002,1050500,86.132065
"2018-04-02",86.129997,86.830002,84.019997,84.739998,893900,84.614319
